mode.4B0500,ax³+bx²+cx+d>0,,,
mode.4B0501,ax³+bx²+cx+d<0,,,
mode.4B0502,ax³+bx²+cx+d≥0,,,
mode.4B0503,ax³+bx²+cx+d≤0,,,
mode.4B0600,ax⁴+bx³+cx²+dx+e>0,,,
mode.4B0601,ax⁴+bx³+cx²+dx+e<0,,,
mode.4B0602,ax⁴+bx³+cx²+dx+e≥0,,,
mode.4B0603,ax⁴+bx³+cx²+dx+e≤0,,,
mode.0C,Distribution,分布,Phân phối,Probabilités
mode.0C01,Normal Probability Density,正态概率密度,Mật độ xác suất chuẩn,Densité Normale
mode.0C02,Normal Cumulative Distribution,正态累积分布,Phân phối tích lũy chuẩn,Normale P(≤X≤)
mode.0C03,Inverse Normal Cumulative Distribution,反正态累积分布,Phân phối tích lũy chuẩn nghịch đảo,Inverse normale
mode.0C04,Binomial Probability,二项概率密度,Xác suất nhị thức,Binomiale P(X=)
mode.0C05,Binomial Cumulative Distribution,二项累积分布,Phân phối tích lũy nhị thức,Binom. P(≤X≤)
mode.0C06,Poisson Probability,泊松概率密度,Xác suất Poisson,Poisson P(X=)
mode.0C07,Poisson Cumulative Distribution,泊松累积分布,Phân phối tích lũy Poisson,Poisson P(X≤)
mode.0D,Spreadsheet,数据表格,Bảng tính,Tableur
mode.0E,Algorithm,算法,Thuật toán,Algo
mode.4F,Math Box,数学盒,Hộp Toán học,Math Box
mode.4FS1,Dice Roll,掷骰子,Tung xúc xắc,Lancer de dés
mode.4FS2,Coin Toss,抛硬币,Tung đồng xu,Pile ou face
mode.0G,Sequence,数列,Dãy số,Suites
format.0,Not Specified,未指定,Không chỉ định,Non spécifié
format.1,Sexagesimal,度分秒,Hệ lục thập phân,Sexagésimal
format.2,ENG Notation 4 times,工程记数法(右移4次),Ký pháp kỹ thuật 4 lần,Notation technique 4 fois
format.3,ENG Notation 3 times,工程记数法(右移3次),Ký pháp kỹ thuật 3 lần,Notation technique 3 fois
format.4,ENG Notation 2 times,工程记数法(右移2次),Ký pháp kỹ thuật 2 lần,Notation technique 2 fois
format.5,ENG Notation 1 times,工程记数法(右移1次),Ký pháp kỹ thuật 1 lần,Notation technique 1 fois
format.6,Reverse ENG Notation 1 times,工程记数法(左移1次),Ký pháp kỹ thuật ngược 1 lần,Notation technique inversée 1 fois
format.7,Reverse ENG Notation 2 times,工程记数法(左移2次),Ký pháp kỹ thuật ngược 2 lần,Notation technique inversée 2 fois
format.8,Reverse ENG Notation 3 times,工程记数法(左移3次),Ký pháp kỹ thuật ngược 3 lần,Notation technique inversée 3 fois
format.9,Reverse ENG Notation 4 times,工程记数法(左移4次),Ký pháp kỹ thuật ngược 4 lần,Notation technique inversée 4 fois
format.A,Decimal,小数,Thập phân,Décimal
format.B,Improper Fraction,假分数,Phân số có thể viết thành hỗn số,Fraction impropre
format.C,Mixed Number,带分数,Hỗn số,Fraction mixte
format.D,Standard,标准,Standard,Standard
format.E,Recurring Decimal,循环小数,Số thập phân tuần hoàn,Décimale périodique
format.F,Prime Factor,质因数分解,Phân tích thành thừa số nguyên tố,Facteur premier
menu.X1,Calculate Manual,计算模式说明,Mô tả Phép tính thường,Manuel de Calcul
menu.X2,Base-N Manual,基数模式说明,Mô tả Hệ đếm cơ số N,Manuel de Base-N
menu.X3,Statistics Manual,统计模式说明,Mô tả Thống kê,Manuel de Stats
menu.X4,Complex Manual,复数模式说明,Mô tả Số phức,Manuel de Complexes
menu.X5,Equation Manual,方程模式说明,Mô tả Phương trình,Manuel d’Équation
menu.X6,Matrix Manual,矩阵模式说明,Mô tả Ma trận,Manuel de Matrice
menu.X7,Vector Manual,向量模式说明,Mô tả Véc-tơ,Manuel de Vecteurs
menu.X8,Table Manual,函数表格模式说明,Mô tả Bảng giá trị,Manuel de Tabl fonct
menu.X9-CY,Verify Manual,验证模式说明,Mô tả Kiểm chứng,Manuel de Vérification
menu.X9-EY,Graph Manual,绘图模式说明,Mô tả Đồ thị,Manuel de Graphe
menu.X9-FY,Graph Manual,绘图模式说明,Mô tả Đồ thị,Manuel de Graphe
menu.XA,Ratio Manual,比例模式说明,Mô tả Tỉ lệ thức,Manuel de Prod. croix
menu.XB,Inequality Manual,不等式模式说明,Mô tả Bất phương trình,Manuel d’Inégalité
menu.XC,Distribution Manual,分布模式说明,Mô tả Phân phối,Manuel de Probabilités
menu.XD,Spreadsheet Manual,数据表格模式说明,Mô tả Bảng tính,Manuel de Tableur
menu.XE,Algorithm Manual,算法模式说明,Mô tả Thuật toán,Manuel d’Algo
menu.XF,Math Box Manual,数学盒说明,Mô tả Hộp toán học,Manuel de Math Box
menu.XG,Sequence Manual,数列说明,Mô tả Dãy số,Manuel des Suites
menu.XH,Math Explorer Manual,数学探索说明,Mô tả Khám Phá Toán,Manuel de l’explorateur mathématique
menu.Y1,AC Break,AC键中断,Ngắt AC,AC Annulation
menu.Y2,Syntax ERROR,语法错误,Lỗi cú pháp,ERREUR de syntaxe
menu.Y3,Math ERROR,数学错误,Lỗi phép tính,ERREUR maths
menu.Y4,Range ERROR,范围错误,Lỗi phạm vi,ERREUR de plage
menu.Y5,Cannot Simplify,无法化简,Không thể rút gọn,Non simplifiable
menu.Y6,Circular ERROR,循环引用错误,Lỗi vòng lặp,ERREUR circulaire
menu.Y7,Stack ERROR,堆栈错误,Lỗi nhóm phép tính,ERREUR de pile
menu.Y8,Argument ERROR,自变量错,Lỗi đối số,ERREUR d’argument
menu.Y9,Dimension ERROR,维数错误,Lỗi kích thước,ERREUR dimension
menu.YA,Cannot Solve,无解,Không giải được,Résol impossible
menu.YB,Time Out,超时,Hết thời gian,Expiration
menu.YC,Variable ERROR,变量错误,Lỗi biến số,ERREUR variable
menu.YD,NULL ERROR,空值错误,Lỗi NULL,ERREUR NULL
menu.YE,Memory ERROR,内存错误,Lỗi bộ nhớ,ERREUR mémoire
menu.YG,No Operator,无运算符,Không có Toán tử,Pas d’opérateur
menu.YH,Not Defined,未定义,Không xác định,Non défini
menu.YZ,Nesting ERROR,嵌套错误,Lỗi lồng hàm,ERREUR branch
menu.Z0,Setup Menu Manual,设置菜单说明,Mô tả Trình cài đặt,Manuel du menu CONFIG
menu.Z1,Setup Sub Menu Manual,设置(二级)菜单说明,Mô tả Trình cài đặt (phụ),Manuel du sous-menu CONFIG
menu.GS,Get Started Screen,开始屏幕,"Màn hình ""Get Started"" của máy tính",Écran « Mode d’emploi »
setup.NUMBER_FORMAT.0,Norm1,常规1,Viết số bình thường 1,Norm1
setup.NUMBER_FORMAT.4,Norm2,常规2,Viết số bình thường 2,Norm2
setup.NUMBER_FORMAT.8,Fix,位数,Chọn số thập phân,Fix
setup.NUMBER_FORMAT.9,Sci,科学,Dạng a×10ⁿ,Sci
setup.NUMBER_FORMAT.name,Number Format,显示格式,Định dạng số,Arrondi
setup.DECIMAL_MARK.0,Comma,逗点,Phẩy,Virgule
setup.DECIMAL_MARK.1,Dot,句点,Chấm,Point
setup.DECIMAL_MARK.name,Decimal Mark,小数点显示,Dấu thập phân,Signe décimal
setup.ANGLE_UNIT.4,Degree,度(D),Độ,Degré
setup.ANGLE_UNIT.5,Radian,弧度(R),Radian,Radian
setup.ANGLE_UNIT.6,Gradian,百分度(G),Grad,Grade
setup.ANGLE_UNIT.name,Angle Unit,角度单位,Đơn vị góc,Unité d’angle
setup.INPUT_OUTPUT.10,MathI/MathO,数学输入/数学输出,Số tự nhiên vào/ra,Smaths/Rmaths
setup.INPUT_OUTPUT.11,MathI/DecimalO,数学输入/小数输出,Số tự nhiên vào/Số thập phân ra,Smaths/Rdéc
setup.INPUT_OUTPUT.00,LineI/LineO,线性输入/线性输出,Dòng vào/ra,Sligne/Rligne
setup.INPUT_OUTPUT.01,LineI/DecimalO,线性输入/小数输出,Dòng vào/Số thập phân ra,Sligne/Rdéc
setup.INPUT_OUTPUT.name,Input/Output,输入/输出,Nhập/Xuất,Saisie/Résultat
setup.FRACTION_RESULT.0,d/c,假分数,Phân số có thể viết thành hỗn số,Fraction impropre
setup.FRACTION_RESULT.1,ab/c,带分数,Hỗn số,Fraction mixte
setup.FRACTION_RESULT.name,Fraction Result,分数结果,Kết quả phân số,Résultat de fraction
setup.COMPLEX_RESULT.0,r∠θ,,,
setup.COMPLEX_RESULT.1,a+bi,,,
setup.COMPLEX_RESULT.name,Complex Result,复数结果,Kết quả số phức,Forme complexe
setup.STATISTICS_FREQUENCY.0,Off,关,Tắt,Désactivé
setup.STATISTICS_FREQUENCY.1,On,开,Bật,Activé
setup.STATISTICS_FREQUENCY.name,Statistics Frequency,统计频数,Tần số thống kê,Effectif
setup.RECURRING_DECIMAL.0,Off,关,Tắt,Désactivé
setup.RECURRING_DECIMAL.1,On,开,Bật,Activé
setup.RECURRING_DECIMAL.name,Recurring Decimal,循环小数,Số thập phân tuần hoàn,Décimale périodique
setup.SIMPLIFY.0,Auto,自动,Tự động,Automatique
setup.SIMPLIFY.1,Manual,手动,Bằng tay,Manuel
setup.SIMPLIFY.name,Simplify,化简,Rút gọn,Simplifier
setup.AUTO_POWER_OFF.0,10 Min.,10分钟,10 phút,10 min
setup.AUTO_POWER_OFF.1,60 Min.,60分钟,60 phút,60 min
setup.AUTO_POWER_OFF.name,Auto Power Off,自动关机,Tự động tắt,Extinct auto
setup.TABLE_TYPE.name,Table Type,函数表格类型,Loại bảng,Type de tableau
setup.TABLE_TYPE.0-CY,f(x),,,
setup.TABLE_TYPE.1-CY,"f(x),g(x)",,,
setup.TABLE_TYPE.0-EY,"f(x),g(x)",,,
setup.TABLE_TYPE.1-EY,f(x),,,
setup.TABLE_TYPE.2-EY,g(x),,,
setup.TABLE_TYPE.0-FY,"f(x),g(x)",,,
setup.TABLE_TYPE.1-FY,f(x),,,
setup.TABLE_TYPE.2-FY,g(x),,,
setup.ENGINEER_SYMBOL.0,Off,关,Tắt,Désactivé
setup.ENGINEER_SYMBOL.1,On,开,Bật,Activé
setup.ENGINEER_SYMBOL.name,Engineer Symbol,工程符号,Kí hiệu kĩ thuật,Symbole d’ingénierie
setup.DIGIT_SEPARATOR.0,Off,关,Tắt,Désactivé
setup.DIGIT_SEPARATOR.1,On,开,Bật,Activé
setup.DIGIT_SEPARATOR.name,Digit Separator,数字分隔符,Dấu cách 3 chữ số,Sépart chiffres
setup.MULTI_LINE_FONT.A,Small Font,小字体,Phông chữ nhỏ,Petite police
setup.MULTI_LINE_FONT.E,Normal Font,普通字体,Phông chữ thường,Police normale
setup.MULTI_LINE_FONT.name,Multi-Line Font,多行字体,Phông Multi-Line,Pol multiligne
setup.EQUATION_COMPLEX_ROOT.0,Off,关,Tắt,Désactivé
setup.EQUATION_COMPLEX_ROOT.1,On,开,Bật,Activé
setup.EQUATION_COMPLEX_ROOT.name,Equation Complex Root,方程复数根,Nghiệm Phức Phương trình,Racine complexe
setup.SPREADSHEET_AUTO_CALC.0,Off,关,Tắt,Désactivé
setup.SPREADSHEET_AUTO_CALC.1,On,开,Bật,Activé
setup.SPREADSHEET_AUTO_CALC.name,Spreadsheet: Auto Calc,数据表格：自动计算,Bảng tính: Tự động tính,Tableur : Calcul auto
setup.SPREADSHEET_SHOW_CELL.0,Formula,公式,Công thức,Formule
setup.SPREADSHEET_SHOW_CELL.1,Value,数值,Giá trị,Valeur
setup.SPREADSHEET_SHOW_CELL.name,Spreadsheet: Show Cell,数据表格：显示单元格,Bảng tính: Hiện ô,Tableur : Afficher cell
setup.QR_CODE_VERSION.3,Version 3,版本3,Phiên bản 3,Version 3
setup.QR_CODE_VERSION.B,Version 11,版本11,Phiên bản 11,Version 11
setup.QR_CODE_VERSION.name,QR Code Version,QR码版本,Phiên bản mã QR,Version du QR Code
setup.ALGORITHM_BACKGROUND.0,Axes,坐标轴,Trục,Axes
setup.ALGORITHM_BACKGROUND.1,Axes/Grid,坐标轴/网格,Trục/Lưới,Axes/Grille
setup.ALGORITHM_BACKGROUND.2,Axes/xy,坐标轴/xy标签,Trục/xy,Axes/xy
setup.ALGORITHM_BACKGROUND.3,None,无,Không có,Aucun
setup.ALGORITHM_BACKGROUND.name,Algorithm: Background,算法：运行时背景,Thuật toán: Nền,Algo : Arrière-plan
setup.ALGORITHM_UNIT_SETTING.0,pixels,像素,pixel,pixels
setup.ALGORITHM_UNIT_SETTING.1,units,×10像素,đơn vị,unités
setup.ALGORITHM_UNIT_SETTING.name,Algorithm: Unit Setting,算法：移动单位设置,Thuật toán: Cài đặt đơn vị,Algo : Réglage unité
setup.LANGUAGE.name,Language,语言,Ngôn ngữ,Langue
setup.LANGUAGE.cn.0,en,,,
setup.LANGUAGE.cn.1,zh,,,
setup.LANGUAGE.de.0,de,,,
setup.LANGUAGE.jp.0,en,,,
setup.LANGUAGE.jp.1,jp,,,
setup.LANGUAGE_LOCAL.en,English,,,
setup.LANGUAGE_TRANS.en,English,英语,Tiếng Anh,Anglais
setup.LANGUAGE_LOCAL.zh,中文,,,
setup.LANGUAGE_TRANS.zh,Chinese,中文,Trung Quốc,Chinois
setup.LANGUAGE_LOCAL.de,Deutsch,,,
setup.LANGUAGE_TRANS.de,German,德语,tiếng Đức,allemand
setup.LANGUAGE_LOCAL.jp,日本語,,,
setup.LANGUAGE_TRANS.jp,Japanese,日语,tiếng Nhật,japonais
input.DISTRIBUTION.0241,Lower=${0},下限=${0},Ldưới=${0},Limite inférieure=${0}
input.DISTRIBUTION.0242,Upper=${1},上限=${1},Ltrên=${1},Limite supérieure=${1}
input.DISTRIBUTION.0331,Area=${0},区域=${0},Vùng=${0},Aire=${0}
input.TABLE.0,Start,开始值,Bắt đầu,Début
input.TABLE.1,End,终止值,Kết thúc,Fin
input.TABLE.2,Step,步长,Bước,Pas
result.INEQUALITY.01,All Real Numbers,所有实数,Tất cả số thực,Tous les nombres réels
result.INEQUALITY.02,No Solution,无解,Vô nghiệm,Aucune solution
result.EQUATION.1,Infinite Solution,无数解,Vô số nghiệm,Infinité de sol
result.EQUATION.2,No Solution,无解,Vô nghiệm,Pas de solution
result.EQUATION.4,No Real Roots,无实根,Vô nghiệm,Pas de rac réelle
result.EQUATION.5,No Local Max/Min,无极值,Không có CĐ/CT,Pas d’extrm local
algo.F903, , ,, 
algo.F905,Move ${0} ${1},前进 ${0} ${1},,Avancer de ${0} ${1}
algo.F906,Turn ⟲ ${0} degrees,旋转⟲ ${0} 度,,Tourner de ⟲ ${0} degrés
algo.F907,Direction ${0} degrees,面向θ ${0} 度,,S'orienter à ${0} degrés
algo.F908,"Goto x=${0}, y=${1}","移到 x=${0}, y=${1}",,Aller à x=${0}; y=${1}
algo.F909,Pen Down,下笔,,Stylo écrit
algo.F90A,Pen Up,抬笔,,Stylo relevé
algo.F90B,${0}→${1},${0}→${1},,${0}→${1}
algo.F90C,?→${0},?→${0},,?→${0}
algo.F90D,"""${0}""","""${0}""",,"""${0}"""
algo.F90D-1,Yes,是,,Oui
algo.F90D-2,No,否,,Non
algo.F90D-3,Number?,数值?,,Nombre?
algo.F90D-4,Result :,结果 :,,Résultat :
algo.F90E,Show Result ${0},显示结果 ${0},,Afficher résult ${0}
algo.F90F,Style ${0},样式 ${0},,Style ${0}
algo.F90F-1,Arrow,箭头,,Flèche
algo.F90F-2,Cross,十字,,Croix
algo.F910,Wait,等待,,Attendre
algo.F911,Repeat ${0},循环 ${0},,Répéter ${0}
algo.F912,↻,↻,,↻
algo.F913,Repeat until ${0},循环直到 ${0},,Répéter jusqu'à ${0}
algo.F914,↻,↻,,↻
algo.F915,If ${0} then,如果 ${0} 则,,Si ${0} Alors
algo.F916,End,结束,,Fin
algo.F917,If ${0} then,如果 ${0} 则,,Si ${0} Alors
algo.F918,Else,否则,,Sinon
algo.F919,End,结束,,Fin
algo.scratch.F903, ,,,
algo.scratch.F905,move (${0}) steps,,,
algo.scratch.F906,turn @turnLeft (${0}) degrees,,,
algo.scratch.F907,point in direction (${0}),,,
algo.scratch.F908,go to x:(${0}) y:(${1}),,,
algo.scratch.F909,pen down,,,
algo.scratch.F90A,pen up,,,
algo.scratch.F90B,set [${1} v] to (${0}),,,
algo.scratch.F90C,"ask [${1}] and wait
set [${0} v] to (answer)",,,
algo.scratch.F90D,"say [${0}]
wait until <key [${1} v] pressed?>",,,
algo.scratch.F90E,"say (${0})
wait until <key [${1} v] pressed?>",,,
algo.scratch.F90F,switch costume to [${0} v],,,
algo.scratch.F910,wait until <key [${0} v] pressed?>,,,
algo.scratch.F911,repeat (${0}),,,
algo.scratch.F912,end,,,
algo.scratch.F913,repeat until [${0}],,,
algo.scratch.F914,end,,,
algo.scratch.F915,if [${0}] then,,,
algo.scratch.F916,end,,,
algo.scratch.F917,if [${0}] then,,,
algo.scratch.F918,else,,,
algo.scratch.F919,end,,,
algo.scratch.value,value?,输入值?,,valeur?
algo.scratch.any,any,任意,,n'importe laquelle
graph.FX_ENABLED.name,f(x),,,
graph.GX_ENABLED.name,g(x),,,
graph.RESERVED_VALUE,Reserved Value,保留值,Giá trị dự phòng,Valeur réservée
graph.ENABLED.0,Disabled,禁用,Tắt,Désactivé
graph.ENABLED.1,Enabled,启用,Bật,Activé
